117 		Al Green 	Take Me to the River 	3:45 	118.0 	1974 	TBD 	DTRANDOM_008-05 	(details...)
118 		The Isley Brothers 	Shout 	4:36 	138.9 	1960 	Rock 1960s 	PARTYTIM_001-18 	(details...)
119 		Fleetwood Mac 	Go Your Own Way 	3:39 	135.6 	1977 	Rock 1970s 	POWERTRK_036-04 	(details...)
120 		The Jackson 5 	I Want You Back 	3:00 	98.1 	1969 	Dance 1960s 	POWERTRK_029-15 	(details...)
121 		Ben E. King 	Stand by Me 	2:54 	108.9 	1961 	Slow 	POWERTRK_046-05 	(details...)
122 		The Animals 	House of the Rising Sun 	4:28 	116.7 	1964 	Slow 	POWERTRK_049-04 	(details...)
123 		James Brown 	It's a Man's Man's Man's World 	2:47 	105.3 	1991 	TBD 	DTRANDOM_004-18 	(details...)
124 		The Rolling Stones 	Jumpin' Jack Flash 	3:40 	137.5 	1968 	Rock 1960s 	POWERTRK_033-07 	(details...)
125 		The Shirelles 	Will You Love Me Tomorrow 	2:43 	125.2 	1961 	Rock 1960s 	POWERTRK_103-06 	(details...)
126 		Big Joe Turner 	Shake, Rattle And Roll 	3:00 	153.0 	1954 	TBD 	DTRANDOM_002-10 	(details...)
127 		David Bowie 	Changes 	3:34 	114.0 	1972 	Rock 1970s 	POWERTRK_095-09 	(details...)
128 		Chuck Berry 	Rock & Roll Music 	2:31 	165.8 	1957 	Rock 1950s 	POWERTRK_020-19 	(details...)
129 		Steppenwolf 	Born to Be Wild 	3:28 	146.9 	1968 	Rock 1960s 	POWERTRK_056-04 	(details...)
130 		Rod Stewart 	Maggie May 	4:58 	128.8 	1971 	Rock 1970s 	POWERTRK_059-11 	(details...)
131 		U2 	With or Without You 	4:56 	110.0 	1987 	Slow 	POWERTRK_008-09 	(details...)
132 		Bo Diddley 	Who Do You Love 	2:30 	114.3 	1957 	TBD 	DTRANDOM_005-17 	(details...)
133 		The Who 	Won't Get Fooled Again 	3:38 	134.9 	1971 	Rock 1970s 	POWERTRK_054-13 	(details...)
134 		Wilson Pickett 	In the Midnight Hour 	2:36 	112.0 	1965 	Dance 1960s 	POWERTRK_038-13 	(details...)
135 		The Beatles 	While My Guitar Gently Weeps 	4:46 	115.7 	1969 	Rock 1960s 	BEATLES__BLB-02 	(details...)
136 		Elton John 	Your Song 	4:00 	117.9 	1970 	Slow 	POWERTRK_039-15 	(details...)
137 		The Beatles 	Eleanor Rigby 	2:08 	138.3 	1966 	Rock 1960s 	BEATLES__RDB-12 	(details...)
138 		Sly & The Family Stone 	Family Affair 	3:02 	108.6 	1971 	Slow 	POWERTRK_148-13 	(details...)
139 		The Beatles 	I Saw Her Standing There 	2:51 	160.7 	1963 	TBD 	HOTSTUFF_027-11 	(details...)
140 		Led Zeppelin 	Kashmir 	8:32 	120.7 	1990 	Rock 1970s 	LEDZEPLN_G1C-01 	(details...)
141 		Everly Brothers 	All I Have to Do Is Dream 	2:22 	96.9 	1958 	Slow 	POWERTRK_058-14 	(details...)
142 		James Brown 	Please, Please, Please 	2:44 	109.6 	1991 	TBD 	DTRANDOM_008-15 	(details...)
143 		Prince 	Purple Rain 	6:32 	113.7 	1984 	Slow 	POWERTRK_104-17 	(details...)
144 		Ramones 	I Wanna Be Sedated 	2:28 	162.5 	1980 	Rock 1980s 	POWERTRK_026-13 	(details...)
145 		Sly & The Family Stone 	Everyday People 	2:19 	114.5 	1969 	Dance 1960s 	POWERTRK_139-04 	(details...)
146 		The B-52's 	Rock Lobster 	6:50 	91.1 	1979 	Rock 1970s 	POWERTRK_036-05 	(details...)
147 		Iggy Pop 	Lust for Life 	5:13 	102.0 	1977 	Rock 2000s 	TRANSPTG_ST1-01 	(details...)
148 		Janis Joplin 	Me And Bobby McGee 	4:34 	93.3 	1973 	Rock 1970s 	JANISJOP_GH1-05 	(details...)
149 		Everly Brothers 	Cathy's Clown 	2:22 	121.3 	1960 	Rock 1960s 	POWERTRK_115-16 	(details...)
150 		The Byrds 	Eight Miles High 	3:36 	122.0 	1966 	TBD 	DTRANDOM_003-05 	(details...)
151 		The Penguins 	Earth Angel (Will You Be Mine) 	2:55 	103.8 	1955 	Slow 	POWERTRK_113-06 	(details...)
152 		Jimi Hendrix 	Foxey Lady 	3:16 	99.3 	1968 	Rock 1960s 	POWERTRK_062-18 	(details...)
153 		The Beatles 	A Hard Day's Night 	2:34 	138.8 	1966 	Rock 1960s 	BEATLES__RDA-08 	(details...)
154 		Buddy Holly 	Rave On 	1:49 	159.5 	1958 	Rock 1950s 	POWERTRK_095-12 	(details...)
155 		Creedence Clearwater Revival 	Proud Mary 	3:07 	120.4 	1968 	Rock 1960s 	POWERTRK_049-03 	(details...)
156 		Simon & Garfunkel 	The Sounds of Silence 	3:04 	106.6 	1965 	Slow 	POWERTRK_074-01 	(details...)
157 		The Flamingos 	I Only Have Eyes for You 	3:22 	88.6 	1959 	Slow 	POWERTRK_038-02 	(details...)
158 		Bill Haley and His Comets 	Rock Around the Clock 	2:10 	89.9 	1955 	Rock 1950s 	POWERTRK_041-02 	(details...)
159 		The Velvet Underground 	I'm Waiting for the Man 	4:40 	125.4 	2005 	TBD 	DTRANDOM_002-01 	(details...)
160 		Public Enemy 	Bring the Noise 	3:47 	110.2 	2005 	TBD 	DTRANDOM_005-10 	(details...)
161 		Ray Charles 	I Can't Stop Loving You 	4:21 	107.3 	1962 	TBD 	DTRANDOM_005-04 	(details...)
162 		Sinead O'Connor 	Nothing Compares 2 U 	5:08 	120.0 	1990 	Slow 	POWERTRK_015-19 	(details...)
163 		Queen 	Bohemian Rhapsody 	5:53 	108.0 	1976 	Slow 	POWERTRK_019-01 	(details...)
164 		Johnny Cash 	Folsom Prison Blues 	2:46 	102.6 	1956 	Country 	POWERTRK_128-17 	(details...)
165 		Tracy Chapman 	Fast Car 	4:53 	103.7 	1988 	Rock 1980s 	POWERTRK_114-08 	(details...)
166 		Eminem 	Lose Yourself 	4:25 	171.5 	2005 	TBD 	HOTSTUFF_005-17 	(details...)
167 		Marvin Gaye 	Let's Get It On 	3:59 	83.5 	1973 	Dance 1970s 	POWERTRK_132-05 	(details...)
168 		The Temptations 	Papa Was a Rollin' Stone 	6:54 	121.2 	1972 	Rock 1970s 	POWERTRK_144-17 	(details...)
169 		R.E.M. 	Losing My Religion 	4:27 	125.4 	1991 	Rock 1990s 	POWERTRK_017-14 	(details...)
170 		Joni Mitchell 	Both Sides Now 	5:46 	111.3 	1969 	TBD 	DTRANDOM_003-11 	(details...)
171 		ABBA 	Dancing Queen 	3:52 	100.4 	1977 	Disco 	POWERTRK_029-02 	(details...)
172 		Aerosmith 	Dream On 	4:25 	154.8 	1976 	Slow 	POWERTRK_045-11 	(details...)
173 		Sex Pistols 	God Save the Queen 	3:18 	148.5 	1977 	Rock 1970s 	POWERTRK_084-14 	(details...)
174 		The Rolling Stones 	Paint It Black 	3:45 	159.1 	1966 	TBD 	HOTSTUFF_023-13 	(details...)
175 		The Bobby Fuller Four 	I Fought the Law 	2:18 	148.3 	1966 	Rock 1960s 	POWERTRK_037-02 	(details...)
176 		The Beach Boys 	Don't Worry Baby 	2:45 	121.8 	1964 	Slow 	POWERTRK_132-09 	(details...)
177 		Tom Petty and The Heartbreakers 	Free Fallin' 	4:15 	84.3 	1989 	Slow 	POWERTRK_019-18 	(details...)
178 		Big Star 	September Gurls 	2:49 	113.9 	1978 	TBD 	DTRANDOM_003-07 	(details...)
179 		Joy Division 	Love Will Tear Us Apart 	3:10 	157.3 	1980 	TBD 	DTRANDOM_006-07 	(details...)
180 		OutKast 	Hey Ya! [Radio Mix] 	3:59 	159.0 	2003 	TBD 	RADIO203_10A-05 	(details...)
181 		Booker T & The MG's 	Green Onions 	2:52 	135.1 	1962 	Rock 1960s 	POWERTRK_025-07 	(details...)
182 		The Drifters 	Save the Last Dance for Me 	2:27 	144.2 	1960 	Slow 	POWERTRK_055-01 	(details...)
183 		B.B. King 	The Thrill Is Gone 	5:25 	90.7 	1998 	TBD 	DTRANDOM_005-15 	(details...)
184 		The Beatles 	Please Please Me 	2:03 	139.4 	1966 	Rock 1960s 	BEATLES__RDA-02 	(details...)
185 		Bob Dylan 	Desolation Row 	11:20 	110.4 	1965 	TBD 	DTRANDOM_004-05 	(details...)
186 		Aretha Franklin 	I Never Loved a Man (The Way I Love You) 	2:49 	127.6 	2002 	TBD 	DTRANDOM_008-09 	(details...)
187 		AC/DC 	Back in Black 	4:16 	93.6 	1981 	Rock 1980s 	POWERTRK_052-09 	(details...)
188 		Creedence Clearwater Revival 	Who'll Stop the Rain 	2:26 	123.8 	1970 	Slow 	POWERTRK_151-14 	(details...)
189 		Bee Gees 	Stayin' Alive 	4:43 	103.6 	1977 	Disco 	POWERTRK_045-05 	(details...)
190 		Bob Dylan 	Knockin' on Heaven's Door 	2:30 	139.3 	1973 	Slow 	POWERTRK_012-16 	(details...)
191 		Lynyrd Skynyrd 	Free Bird 	9:01 	149.0 	1975 	Slow 	POWERTRK_025-01 	(details...)
192 		Glen Campbell 	Wichita Lineman 	3:04 	87.0 	1968 	Country 	CNTRYTRK_003-05 	(details...)
193 		The Drifters 	There Goes My Baby 	2:07 	119.8 	1959 	Slow 	POWERTRK_131-03 	(details...)
194 		Buddy Holly 	Peggy Sue 	2:29 	148.8 	1957 	Rock 1950s 	POWERTRK_014-07 	(details...)
195 		The Chantels 	Maybe 	2:52 	103.9 	1958 	TBD 	DTRANDOM_007-02 	(details...)
196 		Guns N' Roses 	Sweet Child O' Mine 	5:55 	125.0 	1988 	Rock 1980s 	POWERTRK_046-06 	(details...)
197 		Elvis Presley 	Don't Be Cruel 	2:04 	84.6 	1956 	Rock 1950s 	POWERTRK_057-01 	(details...)
198 		Jimi Hendrix 	Hey Joe 	3:27 	84.3 	1968 	Rock 1960s 	POWERTRK_087-07 	(details...)
199 		Parliament 	Flashlight 	4:28 	105.5 	1978 	Dance 1970s 	POWERTRK_169-09 	(details...)
200 		Beck 	Loser 	3:55 	85.4 	1994 	Rock 1990s 	POWERTRK_062-13 	(details...)
201 		New Order 	Bizarre Love Triangle 	6:42 	118.4 	1987 	Rock 1980s 	POWERTRK_026-06 	(details...)
202 		The Beatles 	Come Together 	4:18 	82.8 	1969 	Rock 1960s 	BEATLES__BLB-09 	(details...)
203 		Bob Dylan 	Positively 4th Street 	3:55 	110.0 	2000 	TBD 	DTRANDOM_004-02 	(details...)
204 		Otis Redding 	Try a Little Tenderness 	3:16 	104.1 	1967 	Slow 	POWERTRK_132-06 	(details...)
205 		Bill Withers 	Lean on Me 	3:45 	150.6 	1972 	Slow 	POWERTRK_129-09 	(details...)
206 		Four Tops 	Reach Out (I'll Be There) 	3:00 	119.7 	1966 	Rock 1960s 	POWERTRK_023-15 	(details...)
207 		Everly Brothers 	Bye Bye Love 	2:15 	86.3 	1957 	Rock 1950s 	POWERTRK_022-09 	(details...)
208 		Van Morrison with Them 	Gloria 	2:36 	131.1 	1965 	Rock 1960s 	POWERTRK_011-06 	(details...)
209 		The Beach Boys 	In My Room 	2:15 	103.7 	1963 	TBD 	DTRANDOM_003-16 	(details...)
210 		? & The Mysterians 	96 Tears 	3:01 	123.6 	1997 	TBD 	DTRANDOM_003-14 	(details...)
211 		The Beach Boys 	Caroline, No 	2:19 	152.3 	1966 	TBD 	DTRANDOM_002-03 	(details...)
212 		Prince 	1999 	3:37 	119.2 	1983 	Dance 1980s 	POWERTRK_053-09 	(details...)
213 		Hank Williams 	Your Cheatin' Heart 	2:42 	128.5 	1953 	Country 	POWERTRK_015-13 	(details...)
214 		Neil Young 	Rockin' in the Free World 	4:44 	131.9 	2004 	TBD 	DTRANDOM_006-18 	(details...)
215 		The Chords 	Sh-Boom 	2:27 	137.5 	1985 	TBD 	DTRANDOM_007-11 	(details...)
216 		The Lovin' Spoonful 	Do You Believe in Magic 	2:07 	138.7 	1965 	TBD 	DTRANDOM_007-08 	(details...)
217 		Dolly Parton 	Jolene 	2:41 	110.0 	1974 	TBD 	DTRANDOM_008-13 	(details...)
218 		John Lee Hooker 	Boom Boom 	2:10 	91.5 	1962 	TBD 	DTRANDOM_003-20 	(details...)
219 		Howlin' Wolf 	Spoonful 	2:45 	119.9 	2003 	TBD 	DTRANDOM_001-10 	(details...)
220 		The Left Banke 	Walk Away Renee 	2:43 	118.3 	1967 	TBD 	DTRANDOM_002-11 	(details...)
221 		Lou Reed 	Walk on the Wild Side 	4:12 	106.1 	1973 	Rock 1970s 	POWERTRK_006-04 	(details...)
222 		Roy Orbison 	Oh, Pretty Woman 	2:57 	127.2 	1964 	Rock 1960s 	POWERTRK_021-11 	(details...)
223 		Sly & The Family Stone 	Dance to the Music 	2:58 	128.1 	1968 	Dance 1960s 	POWERTRK_027-01 	(details...)
224 		Chic 	Good Times 	3:44 	110.2 	1979 	Disco 	POWERTRK_017-07 	(details...)
225 		Muddy Waters 	I'm Your Hoochie Coochie Man 	2:52 	108.9 	1960 	TBD 	DTRANDOM_006-03 	(details...)
226 		Van Morrison 	Moondance 	4:32 	131.6 	1970 	Rock 1970s 	POWERTRK_034-05 	(details...)
227 		James Taylor 	Fire And Rain 	3:22 	151.7 	1970 	Slow 	POWERTRK_079-01 	(details...)
228 		The Clash 	Should I Stay or Should I Go? 	3:07 	113.3 	1982 	Rock 1980s 	POWERTRK_025-08 	(details...)
229 		Muddy Waters 	Mannish Boy 	2:58 	105.4 	1960 	TBD 	DTRANDOM_006-17 	(details...)
230 		Bob Dylan 	Just Like a Woman 	4:52 	116.3 	1967 	TBD 	HOTSTUFF_026-20 	(details...)
231 		Marvin Gaye 	Sexual Healing 	3:59 	93.9 	1982 	Slow 	POWERTRK_002-16 	(details...)
232 		Roy Orbison 	Only the Lonely (Know How I Feel) 	2:26 	119.9 	1960 	Slow 	POWERTRK_072-13 	(details...)
